"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
1.25146675397442e-05,18,856,"Inflammatory response ","C5AR2 TLR2 CCR5 C5AR1 STAB1 SLC11A1 TREM2 HCK IRAK2 AOAH SERPINF2 IL17RA ADA SIGLEC10 SLAMF8 CXCR4 PLA2G7 C1QB"
3.07940546940808e-05,21,1301,"Positive regulation of immune system process ","JAK3 C5AR2 TLR2 C5AR1 LAT2 TREM2 PLA2G7 SLC11A1 IRAK2 HLX CCDC88B KLHL6 C1QB HCLS1 ADA SCIN RUNX1 CREBBP WAS HCK EBI3"
3.11539770663203e-05,23,1591,"Cell activation ","FERMT3 JAK3 ADA LAT2 TLR2 IL17RA WAS SLC11A1 POU2F2 TREM2 EBI3 HLX CCDC88B C5AR1 MAFB SLAMF8 RUNX1 RNASET2 F2RL3 SLC2A5 LAIR1 RNASE3 LILRB3"
3.73489777063262e-05,25,1909,"Regulation of immune system process ","JAK3 C5AR2 TLR2 C5AR1 LAT2 TREM2 PLA2G7 MAFB LILRB3 SLC11A1 IRAK2 HLX CCDC88B KLHL6 C1QB HCLS1 ADA SCIN WAS RUNX1 SLAMF8 CREBBP HCK EBI3 LAIR1"
4.28024912180571e-05,13,513,"Adaptive immune response ","SLC11A1 POU2F2 LAT2 JAK3 HLX SIGLEC10 LAIR1 KLHL6 C1QB ADA LILRB3 WAS EBI3"
6.14393906420512e-05,12,448,"Regulation of inflammatory response ","TLR2 TREM2 AOAH IL17RA ADA C5AR1 SIGLEC10 SLAMF8 HCK C5AR2 PLA2G7 C1QB"
0.000109068472688002,34,3539,"Immune system process ","JAK3 CXCR4 C5AR2 TLR2 RUNX1 CCR5 ADA C5AR1 LAT2 TREM2 PLA2G7 RNASE3 MAFB LILRB3 WAS SLC11A1 POU2F2 HCK EBI3 IRAK2 HLX SIGLEC10 RBM47 LAIR1 CCDC88B KLHL6 C1QB IL17RA HCLS1 SCIN SLAMF8 CREBBP RNASET2 SLC2A5"
0.000126883887520701,39,4507,"Response to stress ","FERMT3 SESN2 C5AR2 TLR2 CCR5 POLE C5AR1 MT1A STAB1 WAS NPC1L1 SERPINF2 RNASE3 ADA ETV5 GIPR SLC11A1 TREM2 HCK JAK3 CXCR4 F2RL3 CHAC1 IRAK2 SLC38A2 AOAH SIGLEC10 CCDC88B C1QB GPR4 IL17RA ASCL2 MLIP SLAMF8 CREBBP RCOR1 PLA2G7 MAFF LILRB3"
0.000126883887520701,20,1416,"Leukocyte activation ","JAK3 ADA LAT2 WAS SLC11A1 POU2F2 TREM2 EBI3 HLX TLR2 CCDC88B C5AR1 MAFB SLAMF8 RUNX1 RNASET2 SLC2A5 LAIR1 RNASE3 LILRB3"
0.000136764962188742,22,1715,"Secretion by cell ","RHBDF2 GIPR POU2F2 LAT2 SLC17A9 HCK TLR2 IL17RA PIM3 TREM2 C5AR2 SCIN SLC11A1 RNASET2 SLC38A2 SLC2A5 FERMT3 LAIR1 SERPINF2 RNASE3 C5AR1 LILRB3"
0.000136764962188742,23,1861,"Secretion ","RHBDF2 GIPR POU2F2 LAT2 SLC17A9 HCK TLR2 IL17RA ADA PIM3 TREM2 C5AR2 SCIN SLC11A1 RNASET2 SLC38A2 SLC2A5 FERMT3 LAIR1 SERPINF2 RNASE3 C5AR1 LILRB3"
0.00018540039589013,24,2062,"Defense response ","C5AR2 TLR2 CCR5 C5AR1 STAB1 RNASE3 WAS SLC11A1 TREM2 HCK JAK3 IRAK2 AOAH SIGLEC10 SERPINF2 CCDC88B C1QB IL17RA ADA SLAMF8 CREBBP CXCR4 PLA2G7 LILRB3"
0.00018540039589013,40,4820,"Regulation of response to stimulus ","F2RL3 RHBDF2 SESN2 C5AR2 TLR2 GPR4 ADA C5AR1 WAS LAT2 TREM2 IL10RA PLA2G7 SERPINF2 GIPR SLC11A1 EBI3 CXCR4 FGD3 IRAK2 AOAH HLX OSGIN1 SLA KLHL6 C1QB IL17RA HCLS1 PIM3 CREBBP CHAC1 SIGLEC10 BMF JAK3 MLIP SLAMF8 HCK RUNX1 LAIR1 ARAP1"
0.000298150388525385,27,2602,"Immune response ","CXCR4 C5AR2 TLR2 CCR5 C5AR1 LAT2 RNASE3 WAS SLC11A1 POU2F2 HCK JAK3 IRAK2 HLX SIGLEC10 LAIR1 KLHL6 C1QB ADA LILRB3 SLAMF8 CREBBP RNASET2 TREM2 EBI3 SLC2A5 RUNX1"
0.000319588516719634,27,2621,"Positive regulation of response to stimulus ","F2RL3 C5AR2 TLR2 GPR4 C5AR1 WAS LAT2 TREM2 IL10RA PLA2G7 SERPINF2 GIPR SLC11A1 CXCR4 IRAK2 HLX SLA KLHL6 C1QB IL17RA HCLS1 ADA CREBBP BMF HCK RUNX1 ARAP1"
0.000474702439884789,18,1325,"Regulation of immune response ","C5AR2 TLR2 C5AR1 LAT2 SLC11A1 IRAK2 HLX KLHL6 C1QB ADA WAS JAK3 SLAMF8 CREBBP TREM2 HCK RUNX1 LAIR1"
0.000504202842097331,9,321,"Adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains ","SLC11A1 POU2F2 HLX KLHL6 C1QB ADA WAS JAK3 EBI3"
