"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
1.02536233827641e-18,101,1591,"Cell activation ","FERMT3 JAK3 LTBR CD86 SASH3 CD180 TNFRSF14 FCER1G TNFAIP8L2 SYK FES ADA MICB TYROBP GRN CD84 LAT2 HAVCR2 NOD2 LGALS9 TLR6 IL17RA CLECL1 SPN CARD11 LST1 LILRA2 FGR WAS SLC11A1 TNFRSF1B POU2F2 SPI1 BCL3 JMJD6 NFKB2 TREM2 ELF4 TNFSF13B RELB EBI3 TCIRG1 PTPN6 BATF3 GPS2 HLX VAV1 GNRH1 CMTM7 VSIG4 FZD7 BATF CCDC88B TNIP2 INPP5D PTAFR CEBPB C1QA PTPN2 IRS2 FZD9 TLR7 C5AR1 MAFB NFAM1 CEBPA ADRA2B STXBP2 NFATC2 RASAL3 RPS6KA1 VAMP8 SLAMF8 RUNX1 PLAUR RNASET2 CYBA GNA15 DGKA TSPAN14 LRMP ARHGAP9 SIGLEC9 CHI3L1 ARRB2 PIK3R5 SLC2A5 DOK3 CDA LAIR1 RNASE2 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 HSPA1A LILRB3 CPNE1 SIGLEC14"
1.12316277983411e-17,92,1416,"Leukocyte activation ","JAK3 LTBR CD86 SASH3 CD180 TNFRSF14 FCER1G TNFAIP8L2 SYK FES ADA MICB TYROBP GRN CD84 LAT2 HAVCR2 NOD2 LGALS9 CLECL1 SPN CARD11 LST1 LILRA2 FGR WAS SLC11A1 TNFRSF1B POU2F2 SPI1 BCL3 JMJD6 TREM2 ELF4 TNFSF13B RELB EBI3 TCIRG1 PTPN6 BATF3 GPS2 HLX VAV1 GNRH1 CMTM7 VSIG4 FZD7 BATF CCDC88B TNIP2 INPP5D PTAFR CEBPB C1QA TLR6 PTPN2 IRS2 FZD9 TLR7 C5AR1 MAFB NFAM1 CEBPA STXBP2 NFATC2 RASAL3 VAMP8 SLAMF8 RUNX1 PLAUR RNASET2 CYBA TSPAN14 LRMP ARHGAP9 SIGLEC9 CHI3L1 SLC2A5 DOK3 CDA LAIR1 RNASE2 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 HSPA1A LILRB3 CPNE1 SIGLEC14"
5.25019580009139e-12,56,766,"Myeloid leukocyte activation ","LTBR FCER1G SYK FES TYROBP GRN CD84 LILRA2 FGR SLC11A1 SPI1 JMJD6 LAT2 TREM2 RELB BATF3 HAVCR2 VSIG4 BATF TNIP2 PTAFR C1QA TLR6 TLR7 C5AR1 CEBPA STXBP2 VAMP8 LGALS9 PLAUR RNASET2 TNFRSF1B CYBA TSPAN14 TCIRG1 PTPN6 LRMP ARHGAP9 SIGLEC9 CHI3L1 SLC2A5 DOK3 CDA LAIR1 RNASE2 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 HSPA1A LILRB3 CPNE1 NFAM1 SIGLEC14"
2.1438474767528e-11,145,3539,"Immune system process ","JAK3 LTBR CD86 CXCR4 SASH3 CD180 C5AR2 TNFRSF14 FCER1G RUNX1 CCR5 SH2B2 TNFAIP8L2 SYK TLR6 FES TLR7 ADA C5AR1 MICB GPSM3 TYROBP GRN CYBA CD84 LAT2 TREM2 MKNK2 GNLY HAVCR2 PLA2G7 C1QC NOD2 LGALS9 RNASE2 RNASE3 RELA CLECL1 IFNLR1 SPN CARD11 MAFB LST1 LILRB3 LILRA2 FGR WAS SLC11A1 TNFRSF1B POU2F2 SPI1 BCL3 JMJD6 STXBP2 NFKB2 IRAK3 HCK ELF4 TNFSF13B RELB EBI3 SIPA1L3 TCIRG1 PTPN6 LRMP BATF3 ZBTB46 KDM6B GPS2 IRAK2 HLX CMTM3 ARRB2 VAV1 SIGLEC10 EPHA2 GNRH1 BCL2L11 CMTM7 VSIG4 FZD7 BATF FANCC IFNGR2 PTMS RBM47 LAIR1 CCDC88B TNIP2 INPP5D PTAFR CEBPB IL16 KLHL6 C1QB C1QA PTPN2 IL17RA HCLS1 IRS2 CARD9 FZD9 ARID5A IFI30 NFAM1 CEBPA ORAI1 NFATC2 RASAL3 VAMP8 PLVAP ETV6 HSPA1A SLAMF8 CREBBP PLAUR RNASET2 ANGPT2 NCF4 SLC7A6 TSPAN14 TNFRSF10B ARHGAP9 SIGLEC9 ARPC1B RFX1 CHI3L1 GPR65 SLC2A5 DOK3 IL2RG SLC7A7 NCF1 CDA SLC3A2 SIGLEC7 AGPAT2 HSPA6 TNFRSF10D ARHGAP45 MUC6 DGAT1 SERPINA1 CPNE1 SIGLEC14"
2.37920329611044e-11,47,592,"Regulation of leukocyte activation ","JAK3 CD86 SASH3 TNFRSF14 TNFAIP8L2 SYK FES GRN CD84 HAVCR2 NOD2 LGALS9 CLECL1 CARD11 LST1 FGR TYROBP TNFRSF1B TREM2 TNFSF13B PTPN6 HLX GNRH1 VSIG4 FCER1G CCDC88B TNIP2 INPP5D PTAFR CEBPB C1QA PTPN2 IRS2 ADA C5AR1 SPN NFAM1 CEBPA NFATC2 RASAL3 VAMP8 STXBP2 SLAMF8 RUNX1 TLR6 EBI3 VAV1"
2.37920329611044e-11,49,638,"Regulation of cell activation ","JAK3 CD86 SASH3 TNFRSF14 FCER1G TNFAIP8L2 SYK FES GRN CD84 HAVCR2 NOD2 LGALS9 CLECL1 CARD11 LST1 LILRA2 FGR TYROBP TNFRSF1B TREM2 TNFSF13B PTPN6 HLX GNRH1 VSIG4 CCDC88B TNIP2 INPP5D PTAFR CEBPB C1QA PTPN2 IRS2 ADA C5AR1 SPN NFAM1 CEBPA NFATC2 RASAL3 RPS6KA1 VAMP8 STXBP2 SLAMF8 RUNX1 TLR6 EBI3 VAV1"
6.36697218788892e-11,178,4820,"Regulation of response to stimulus ","LGALS9 SEMA3F MAP2K3 FLT4 IRAK3 LTBR PROC SASH3 G0S2 RHBDF2 GDF15 SESN2 ZSWIM4 CD180 C5AR2 GPR65 TLE3 PIK3R5 TNFRSF14 FCER1G SH2B2 TNFAIP8L2 SYK NOD2 SEMA6B MLKL BCL2L1 TLR6 GPR4 FES SPRY4 PALM3 TLR7 ADA C5AR1 MICB GPSM3 CPNE1 AXIN1 FZD7 MSX1 AGPAT2 WAS GRN CYBA CD84 LAT2 ANGPT2 TREM2 IL10RA PTPN6 KLK14 GPS2 HAVCR2 ARRB2 EPHA2 PLA2G7 ANKLE1 SCIMP SERPINF2 TMC8 TNIP2 RELA IFNLR1 CARD9 S100A4 DENND4B HSPA1A LILRA2 ADRA2B FGR GIPR SLC11A1 TNFRSF1B MNT SSH1 BIRC5 ARHGAP4 ZMYND8 TNFSF13B LHB EBI3 SIPA1L3 WNT5B CXCR4 MCF2L FGD3 CHRNA10 CHI3L1 IRAK2 AOAH HLX FURIN CMTM3 OSGIN1 PRDM15 VAV1 GNRH1 CMTM7 VSIG4 SLA C1QC CREBRF INPP5D PTAFR CHST11 RGS19 CEBPB IL16 KLHL6 GRK2 C1QB C1QA HAP1 PTPN2 NUPR1 IL17RA HCLS1 CHEK2 NPY2R FZD9 STK40 CARD11 PIM3 ITSN2 SIPA1 NFAM1 CEBPA SHANK3 BCL3 TNFRSF10B BCL2L11 SIAH2 CREBBP PTBP1 PLAUR HDAC7 SH3BP1 NFATC2 RASAL3 TSPAN14 NOP2 VAMP8 CHAC1 MAPKBP1 RCN3 NCF1 DEDD2 SIGLEC10 STXBP2 BMF JAK3 SLAMF8 CD86 FKBP4 TYROBP GMIP HCK RELB DNAJB6 GIT1 DOK1 ARHGAP9 TRIP10 SIGLEC9 ARPC1B DNAJB1 IFNGR2 RUNX1 LAIR1 SIGLEC7 BANP ARHGAP45 MUC6 IRS2 ARHGAP30 ARAP1 SRGAP2"
1.59565060767336e-10,53,775,"Lymphocyte activation ","JAK3 CD86 SASH3 CD180 TNFRSF14 FCER1G TNFAIP8L2 SYK ADA MICB LAT2 HAVCR2 NOD2 LGALS9 CLECL1 SPN CARD11 LST1 TYROBP WAS SLC11A1 TNFRSF1B POU2F2 SPI1 BCL3 JMJD6 ELF4 TNFSF13B RELB EBI3 TCIRG1 PTPN6 GPS2 HLX VAV1 GNRH1 CMTM7 VSIG4 FZD7 BATF CCDC88B TNIP2 INPP5D CEBPB PTPN2 IRS2 FZD9 MAFB NFAM1 NFATC2 RASAL3 SLAMF8 RUNX1"
1.78772335792212e-10,56,856,"Inflammatory response ","RELB C5AR2 CCR5 TNFAIP8L2 RELA TLR6 C5AR1 GPSM3 NOD2 TLR7 GRN LGALS9 STAB1 TYROBP SLC11A1 TNFRSF1B MAP2K3 TREM2 HCK TCIRG1 KDM6B GPS2 CHI3L1 CD180 IRAK2 HAVCR2 AOAH EPHA2 FCER1G RPS6KA4 SYK SERPINF2 TNIP2 PTAFR CEBPB C1QA PTPN2 NUPR1 CD163 IL17RA ADA SERPINA1 CEBPA CYBA PROC VAMP8 SIGLEC10 VSIG4 SLAMF8 NFAM1 TMIGD3 CXCR4 PLA2G7 C1QC C1QB ADORA3"
2.68023536928234e-10,75,1392,"Immune effector process ","SASH3 CD180 TNFRSF14 FCER1G SYK FES TLR7 MICB GRN CD84 HAVCR2 LGALS9 RNASE2 IFNLR1 SPN LILRA2 FGR TYROBP SLC11A1 TNFRSF1B POU2F2 BCL3 LAT2 IRAK3 RELB TCIRG1 PTPN6 HLX VAV1 VSIG4 BATF IFNGR2 C1QC NOD2 INPP5D PTAFR C1QB C1QA CARD9 ADA STXBP2 WAS VAMP8 ARRB2 JAK3 SLAMF8 CD86 RELA PLAUR RNASET2 CYBA HCK TSPAN14 LRMP ARHGAP9 SIGLEC9 ARPC1B CHI3L1 C5AR2 SLC2A5 DOK3 CDA LAIR1 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 C5AR1 HSPA1A LILRB3 CPNE1 NFAM1 SIGLEC14"
